item_id,book_title,author,average_rating
101,Chasing Jordan,Heidi W. Boehringer,3.44
102,Seven-Year Seduction,Heidi Betts,3.61
103,"God Emperor of Dune (Dune Chronicles, #4)",Frank Herbert,3.85
104,"Dune (Dune Chronicles, #1)",Frank Herbert,4.23
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01
108,The Secrets of Frank Herbert's Dune,James Van Hise,3.52
109,"Heretics of Dune (Dune Chronicles, #5)",Frank Herbert,3.86
110,The Road to Dune,Frank Herbert,3.88
112,Children of Dune (Dune Chronicles #3),Frank Herbert,3.93
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.6
121,The Patriarch: The Rise and Fall of the Bingham Dynasty,Susan E. Tifft,3.67
122,"The Power of One (The Power of One, #1)",Bryce Courtenay,4.35
125,The Power of One: Daisy Bates and the Little Rock Nine,Dennis Brindell Fradin,4.41
128,The Power of One Christlike Life,Francis Frangipane,4.22
129,"The Power of One: One Person, One Rule, One Month",John C. Maxwell,4.22
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34
131,"The Power of One: The Solo Play for Playwrights, Actors, and Directors",Louis E. Catron,3.67
132,"How to Buy, Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days",Adam Ginsberg,3.48
133,eBay for Dummies,Marsha Collier,3.51
134,eBay PowerSeller Secrets: Insider Tips from eBay's Most Successful Sellers,Debra Schepp,3.59
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta,3.62
137,Starting an eBay Business for Dummies,Marsha Collier,3.55
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27
139,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89
141,Ruby Cookbook,Lucas Carlson,3.83
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08
146,Ruby's Low-Fat Soul Food Cookbook,Ruby Banks-Payne,4.8
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.46
149,The Red Hot Cookbook: Create a Culinary Inferno with Flaming Good Recipes from Around the World,Ruby Le Bois,3.75
151,Anna Karenina,Leo Tolstoy,4.05
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman,3.89
159,Dinner with Anna Karenina,Gloria Goldreich,2.98
160,Tolstoy: Anna Karenina,Anthony Thorlby,4.19
162,Untouchable,Mulk Raj Anand,3.72
163,The Untouchable,John Banville,3.95
164,The Untouchables,Eliot Ness,3.89
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82
166,Dalit: The Black Untaouchables of India,V.T. Rajshekar,4.2
167,"The Untouchables: Subordination, Poverty and the State in Modern India (Contemporary South Asia, #4)",Oliver Mendelsohn,4
168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon,3.65
170,The Book of Evidence,Peter Achinstein,3.83
171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello,4
180,Wrinkles in Time,George Smoot,4.01
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4
182,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.6
183,Un raccourci dans le temps,Madeleine L'Engle,4
184,Empress in the Wrinkle of Time: The Knight-King Chronicle,Valerie Metcalf Estoye,4.25
192,A Wrinkle in Time: L-I-T Guide,Charlotte S. Jaffe,3.91
197,A Wrinkle in Time: Teacher Guide,Anne Troy,4.14
201,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4
204,"The Long Shadow (The Morland Dynasty, #6)",Cynthia Harrod-Eagles,4.11
205,"A Long Shadow (Inspector Ian Rutledge, #8)",Charles Todd,4.12
206,Vicksburg's Long Shadow: The Civil War Legacy of Race and Remembrance,Christopher Waldrep,3.29
207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor,3.95
208,"A Shadow in Summer (Long Price Quartet, #1)",Daniel Abraham,3.61
213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford,3.9
214,Sideswipe: A Hoke Moseley Novel,Charles Willeford,4.04
215,The Way We Die Now,Charles Willeford,4.06
216,Miami Blues (Hoke Moseley #1),Charles Willeford,3.94
218,The Woman Chaser,Charles Willeford,3.93
219,The Machine in Ward Eleven,Charles Willeford,3.59
221,Wild Wives,Charles Willeford,3.68
222,The Shark-Infested Custard,Charles Willeford,3.82
224,The Black Mass of Brother Springer,Charles Willeford,3.97
226,Comedy after Postmodernism: Rereading Comedy from Edward Lear to Charles Willeford,Kirby Olson,4.14
228,Cockfighter,Charles Willeford,4.11
229,"Sideswipe (Hoke Moseley, #3)",Charles Willeford,4.04
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89
231,I am Charlotte Simmons,Tom Wolfe,3.42
234,The Complete Verse and Other Nonsense,Edward Lear,4.18
236,The Complete Nonsense of Edward Lear,Edward Lear,4.03
237,Poetry for Young People: Edward Lear,Edward Lear,3.91
239,An Edward Lear Alphabet,Edward Lear,3.42
241,A Was Once an Apple Pie,Edward Lear,3.41
242,The Owl and the Pussycat,Edward Lear,4.19
243,The Pobble Who Has No Toes (Edward Lear's Little Books of Nonsense),Edward Lear,4.6
244,The Puffin Book of Nonsense Verse,Quentin Blake,4
245,Henry Miller on Writing,Henry Miller,4.23
246,The Colossus of Maroussi,Henry Miller,3.98
247,Quiet Days in Clichy,Henry Miller,3.69
248,Big Sur and the Oranges of Hieronymus Bosch,Henry Miller,4.02
249,Tropic of Cancer,Henry Miller,3.68
250,Tropic of Capricorn,Henry Miller,3.78
251,"Nexus (The Rosy Crucifixion, #3)",Henry Miller,4.1
252,"Sexus (The Rosy Crucifixion, #1)",Henry Miller,3.98
253,The Air-Conditioned Nightmare,Henry Miller,3.83
254,The Time of the Assassins:  a Study of Rimbaud,Henry Miller,3.95
255,Public Places-Urban Spaces: The Dimensions of Urban Design,Matthew Carmona,4.1
256,Behavior in Public Places,Erving Goffman,4.1
257,Haunted Places in America: A Guide to Spooked and Spooky Public Places in the United States,Charles A. Coulombe,3.42
258,"Public Places: My Life in the Theater, with Peter O'Toole and Beyond",Sian Phillips,3.85
259,Together Alone: Personal Relationships in Public Places,Calvin Morrill,3.67
260,Squares: A Public Place Design Guide for Urbanists,Mark C. Childs,3.78
261,Just in Time! Pastoral Prayers in Public Places,F. Belton Joyner Jr.,3.8
262,Pike Place Public Market Seafood Cookbook,Braiden Rex-Johnson,3.83
263,Art for Public Places: Critical Essays,Malcolm Miles,4.25
264,The Portrait of a Lady,Henry James,3.78
267,Portrait of the Blue Lady: The Character of Melancholy,Lyn Cowan,4.22
271,New Essays on 'The Portrait of a Lady',Joel Porte,4
275,The Lover,Marguerite Duras,3.74
277,Writing,Marguerite Duras,3.74
278,The War,Marguerite Duras,3.85
279,Craniosacral Therapy II: Beyond the Dura,John E. Upledger,4.35
280,The Ravishing of Lol Stein,Marguerite Duras,3.66
284,A Treasury of Kahlil Gibran,Kahlil Gibran,4.43
285,Love Letters,Kahlil Gibran,3.7
286,The Prophet,Kahlil Gibran,4.23
288,Kahlil Gibran: His Life and World,Jean Gibran,4.21
289,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran,4.19
290,Jesus the Son of Man,Kahlil Gibran,3.98
291,The Broken Wings,Kahlil Gibran,3.92
292,Sand and Foam,Kahlil Gibran,4.08
295,Treasure Island,Robert Louis Stevenson,3.83
302,Treasure Island (Great Illustrated Classics),Deidre S. Laiken,4.05
303,Cliffs Notes on Stevenson's Treasure Island and Kidnapped,O.L. Mishk,4.6
305,George Eliot and Judaism: An Attempt to Appreciate 'Daniel Deronda',David Kaufmann,4.33
306,Daniel Deronda Notebooks,George Eliot,3.7
309,"Daniel Deronda, V1",George Eliot,4.31
312,Flight: 100 Years of Aviation,R.G. Grant,4.31
313,100 Years of Lynchings,Ralph Ginzburg,4.61
314,If You Lived 100 Years Ago,Ann McGovern,3.91
315,Camp Cooking: 100 Years The National Museum of Forest Service History,National Museum of Forest Service History,4.42
317,El Siglo del Espiritu Santo,Vinson Synan,3.79
318,The Next 100 Years: Predictions to the Nations and the Church of the 21st Century,Dennis Cramer,4
319,Disney,Dave   Smith,3.98
323,Masterwork Studies Series: 100 Years of Solitude,Regina Janes,4.05
324,Cien años de soledad,Gabriel García Márquez,4.07
327,Why Zebras Don't Get Ulcers,Robert M. Sapolsky,4.17
328,Chess for Zebras,Jonathan Rowson,4.4
329,What If the Zebras Lost Their Stripes?,John Reitano,4.14
330,On Beyond Zebra!,Dr. Seuss,4.04
331,Ziggy the Zebra,Libby Ellis,4.07
332,The Wedding Clause,Debbie Raleigh,3.61
333,The Zebra Wall,Kevin Henkes,3.44
334,"""A"" Is for Zebra",Mark Shulman,3.78
335,Lots and Lots of Zebra Stripes,Stephen R. Swinburne,3.74
337,El perfume: Historia de un asesino,Patrick Süskind,4.02
339,"Perfumes, Splashes  Colognes: Discovering and Crafting Your Personal Fragrances",Nancy M. Booth,3.65
340,Wonderful World of Collecting Perfume Bottles: Identification & Value Guide,Jane Flanagan,4.09
344,Scents & Sensibilities: Creating Solid Perfumes for Well-Being,Mandy Aftel,3.85
348,The Door Into Summer,Robert A. Heinlein,4.01
350,Stranger in a Strange Land,Robert A. Heinlein,3.92
353,Time Enough for Love,Robert A. Heinlein,3.97
354,To Sail Beyond the Sunset,Robert A. Heinlein,3.87
355,Job: A Comedy of Justice,Robert A. Heinlein,3.78
356,"Time for the Stars (Heinlein's Juveniles, #10)",Robert A. Heinlein,3.97
357,"The Long Dark Tea-Time of the Soul (Dirk Gently, #2)",Douglas Adams,4.06
359,"The Salmon of Doubt (Dirk Gently, #3)",Douglas Adams,3.93
362,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14
365,"Dirk Gently's Holistic Detective Agency (Dirk Gently, #1)",Douglas Adams,3.98
366,Velvet: A Novel of Suspense,Alec Kalla,2.57
367,Douglas Adams's Starship Titanic,Terry Jones,3.6
372,The Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams,3.93
374,Salmon Doubts,Adam Sacks,3.25
377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams,3.93
379,A Guide for Using the Phantom Tollbooth in the Classroom,Kathleen L. Bulloch,4.25
380,A Colorful Symphony: Full Score,Robert Xavier Rodríguez,5
382,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus,4.11
385,On Bullshit,Harry G. Frankfurt,3.57
386,Another Bullshit Night in Suck City,Nick Flynn,3.79
387,100 Bullshit Jobs...And How to Get Them,Stanley Bing,3.19
388,The Business of Bullshit,Graham Edmonds,3.47
389,Bullshit Artist: The 9/11 Leadership Myth,Ron Schalow,4.67
390,Your Call Is Important to Us: The Truth About Bullshit,Laura Penny,3.42
392,"Bullets, Badges, and Bullshit",Phil T. O'Brien,5
393,"Hello, Lied the Agent: And Other Bullshit You Hear as a Hollywood TV Writer",Ian Gurvitz,3.34
394,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.14
395,Lincoln's Gettysburg Address in Translation,Abraham Lincoln,4.53
397,The Gettysburg Address,Abraham Lincoln,4.53
398,The Battle of Gettysburg and Lincoln's Gettyburg Address,Carin T. Ford,4.14
399,Underworld,Don DeLillo,3.92
400,Libra,Don DeLillo,3.99
403,Americana,Don DeLillo,3.43
404,Running Dog,Don DeLillo,3.43
405,Ratner's Star,Don DeLillo,3.48
406,Cosmopolis,Don DeLillo,3.22
407,Great Jones Street,Don DeLillo,3.48
408,The Names,Don DeLillo,3.64
409,Against the Day,Thomas Pynchon,4.13
410,V.,Thomas Pynchon,3.96
411,The Crying of Lot 49,Thomas Pynchon,3.69
412,Gravity's Rainbow,Thomas Pynchon,4
413,Mason & Dixon,Thomas Pynchon,4.07
414,Vineland,Thomas Pynchon,3.69
416,Slow Learner: Early Stories,Thomas Pynchon,3.5
417,Thomas Pynchon (Bloom's Modern Critical Views),Harold Bloom,3.6
418,Been Down So Long It Looks Like Up To Me,Richard Fariña,3.79
419,Vintage Didion,Joan Didion,4.1
420,The Year of Magical Thinking,Joan Didion,3.89
421,The White Album,Joan Didion,4.16
422,A Book of Common Prayer,Joan Didion,3.8
423,Where I Was From,Joan Didion,3.86
424,Slouching Towards Bethlehem,Joan Didion,4.21
425,Democracy,Joan Didion,3.82
426,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion,4.5
427,Miami,Joan Didion,3.7
428,Play It As It Lays,Joan Didion,3.88
429,Amazons: An Intimate Memoir by the First Woman Ever to Play in the National Hockey League,Cleo Birdwell,3.71
431,The New York Trilogy,Paul Auster,3.89
432,"City of Glass (The New York Trilogy, #1)",Paul Auster,3.79
434,"Ghosts (The New York Trilogy, #2)",Paul Auster,3.64
435,"The Locked Room (The New York Trilogy, #3)",Paul Auster,3.89
438,"New York Trilogy: New York Underground, Trapped, Love and Sex",Paul Hallasy,5
439,"New York Dreams (Virex Trilogy, #3)",Eric Brown,3.8
444,Pyramids of Montauk: Explorations in Consciousness,Peter Moon,3.89
445,"All My Tomorrows (The Orphan Trains Trilogy, #2)",Al Lacy,3.96
446,The Brooklyn Follies,Paul Auster,3.84
447,Moon Palace,Paul Auster,3.94
448,A Tomb for Anatole: Poetry,Stéphane Mallarmé,4.37
452,The Invention of Solitude: A Memoir,Paul Auster,3.78
453,The Music of Chance,Paul Auster,3.91
454,Travels in the Scriptorium,Paul Auster,3.23
455,In the Country of Last Things,Paul Auster,3.87
456,Leviathan,Paul Auster,3.96
459,The Random House Book of 20th Century French Poetry,Paul Auster,4.56
460,Paul Auster's New York - Promo: Mak.of Amer,Paul Auster,3.89
461,The Inner Life of Martin Frost,Paul Auster,3.33
462,Disappearances,Paul Auster,3.4
463,The Red Notebook: True Stories,Paul Auster,3.77
464,Collected Poems,Paul Auster,3.58
465,Paul Auster and Postmodern Quest: On the Road to Nowhere,Chippy M.L. Den Irvine,4
466,Timbuktu / Leviathan / Moon Palace,Paul Auster,4.32
468,An Art of Desire: Reading Paul Auster,Bernd Herzogenrath,4
469,Paul Auster (Bloom's Modern Critical Views),Harold Bloom,3.82
470,"The Art of Hunger: Essays, Prefaces, Interviews, The Red Notebook",Paul Auster,3.87
471,World that is the Book: Paul Auster’s Fiction,Aliki Varvogli,3.6
473,Beyond the Red Notebook,Dennis Barone,4
475,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,3.93
476,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb,3.39
477,Collapse of Complex Societies,Joseph A. Tainter,4.16
478,Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,3.8
479,The Collapse of Evolution,Scott M. Huse,4.1
480,Collapse of Burning Buildings: A Guide to Fireground Safety,Vincent Dunn,4.83
481,The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,3.91
482,"Armageddon Averted: The Soviet Collapse, 1970-2000",Stephen Kotkin,3.73
484,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo,4.39
485,The Languages of Native North America,Marianne Mithun,4.53
487,Searching for Lost City: On the Trail of America's Native Languages,Elizabeth Seay,3.89
488,Indian Sign Language,William Tomkins,3.95
492,The Fantastic Inventions of Nikola Tesla,Nikola Tesla,4.05
493,My Inventions,Nikola Tesla,4.01
494,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer,3.79
495,"Colorado Springs Notes, 1899-1900",Brotherhood of Life,3.96
496,The Lost Journals of Nikola Tesla: HAARP - Chemtrails and the Secret of Alternative 4,Tim R. Swartz,3.91
497,Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,3.93
498,Tesla Papers,Nikola Tesla,4.13
499,21st Century Mysteries: Nikola Tesla: Federal Documents and References (CD-ROM),U.S. Government,5
500,Problem of Increasing Human Energy,Nikola Tesla,4.24
501,The Tesla Rotating Magnetic Field,Thomas Commerford Martin,4
502,Art Invention House,Michael Webb,3.67
503,How Invention Begins: Echoes of Old Voices in the Rise of New Machines,John H. Lienhard,3.75
504,The Invention of Peace: Reflections on War and International Order,Michael Eliot Howard,3.69
507,Amazing Leonardo da Vinci Inventions: You Can Build Yourself,Maxine Anderson,3.86
509,The Invention of Love,Tom Stoppard,4.02
510,Sliding Into Home,Dori Hillestad Butler,3.89
511,Boys of Summer,Julie Elizabeth Leto,3.77
512,"When Johnny Came Sliding Home: The Post-Civil War Baseball Boom, 1865-1870",William J. Ryczek,4.62
515,Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas,4.03
516,Programming Ruby: The Pragmatic Programmer's Guide,Dave Thomas,4.03
517,Best of Ruby Quiz Volume One,James Edward Gray II,3.4
518,From Java to Ruby,Bruce A. Tate,3.14
519,Rails Recipes,Chad Fowler,3.55
520,Learn to Program,Chris  Pine,4.13
521,"No Fluff, Just Stuff Anthology",Neal Ford,3.38
522,English-Cayuga/Cayuga-English Dictionary,Frances Froman,0
523,Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly,3.94
524,Lord of the Flies,William Golding,3.68
528,Lord of the Flies (SparkNotes Literature Guides),SparkNotes,3.76
531,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,4.11
532,Jack: A Life Like No Other,Geoffrey Perret,3.85
534,We Were Not Like Other People,Ephraim Sevela,4.14
536,The Lovely Bones,Alice Sebold,3.81
539,"Lovely in Her Bones (Elizabeth MacPherson, #2)",Sharyn McCrumb,3.8
543,USB Mass Storage: Designing and Programming Devices and Embedded Hosts,Jan Axelson,3.67
545,Storage Network Performance Analysis,Huseyin Simitci,3.93
546,Complete Home Storge,Barbara Braasch,3.1
547,Taunton's Home Storage Idea Book,Joanne Kellar Bouknight,3.68
548,Storage Area Network Essentials: A Complete Guide to Understanding and Implementing Sans,Richard    Barker,4.06
550,Country Living Stylish Storage: Simple Ways to Contain Your Clutter,Paige Gilchrist,3
551,Simple Handmade Storage: 23 Step-By-Step Weekend Projects,Philip Haxell,3.29
553,Storage (Chic Simple) (Chic Simple Components),Jennifer Lisle,2.83
555,"The Modern Gentleman: A Guide to Essential Manners, Savvy and Vice",Phineas Mollod,3.81
556,The Chap Manifesto: Revolutionary Etiquette for the Modern Gentleman,Gustav Temple,3.9
557,The Compleat Gentleman: The Modern Man's Guide to Chivalry,Brad Miner,3.56
558,The Last Gentleman (Modern Library),Walker Percy,3.87
561,The Word of a Gentleman: Meditations for Modern Man,Richard C. Halverson,3
563,CSS Mastery: Advanced Web Standards Solutions,Andy Budd,4.1
564,Head First HTML with CSS & XHTML,Elisabeth Robson,4.16
565,The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea,3.98
566,Stylin' with CSS: A Designer's Guide,Charles Wyke-Smith,3.75
567,CSS Pocket Reference,Eric A. Meyer,3.97
568,The CSS Anthology,Rachel Andrew,3.87
569,HTML Utopia,Rachel Andrew,3.29
570,"HTML, XHTML, and CSS (Visual Quickstart Guide)",Elizabeth Castro,3.79
571,Eric Meyer on CSS: Mastering the Language of Web Design with Cascading Style Sheets,Eric A. Meyer,4.13
572,"1,000 Places to See in the U.S.A.  Canada Before You Die",Patricia Schultz,4.05
576,1000 Record Covers,Michael Ochs,3.84
578,Paul Huf: record covers,Hornbuckle,0
581,100 Albums That Changed Music: And 500 Songs You Need to Hear,Sean Egan,3.53
582,1000 Families,Uwe Ommer,4.06
585,The Art of Rock: Posters from Presley to Punk,Paul Grushkin,4.49
586,Art of Modern Rock: The Poster Explosion,Paul Grushkin,4.12
587,Ambiguous Images: Gender and Rock Art,Kelley Hays-Gilpin,3.83
588,Roadside Guide to Indian Ruins & Rock Art of the Southwest,Gordon Sullivan,4.12
589,A Field Guide to Rock Art Symbols of the Greater Southwest,Alex Patterson,4.18
590,Guide to Rock Art of the Utah Region: Sites with Public Access,Dennis Slifer,4
591,The Rock Art of Texas Indians,William W. Newcomb,4.1
593,The Archaeology of Rock-Art,Christopher Chippindale,4.31
594,African Rock Art: Paintings and Engravings on Stone,David Coulson,4.14
595,Flash to the Core: An Interactive Sketchbook by Joshua Davis,Joshua Davis,4.1
597,Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,3.81
599,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto",Chuck Klosterman,3.74
600,"Sex, Drugs and DNA: Science's Taboos Confronted",Michael Stebbins,3.68
601,"Sex, Drugs & Economics: An Unconventional Introduction to Economics",Diane Coyle,3.6
602,"Sex, Drugs, Rock and Roll",Eric Bogosian,3.81
603,"Sex, Drugs, Gambling, and Chocolate: A Workbook for Overcoming Addictions",A. Thomas Horvath,3.9
605,"Life and Def: Sex, Drugs, Money, + God",Russell Simmons,3.8
606,The Vice Guide to Sex and Drugs and Rock and Roll,Suroosh Alvi,4.06
607,Corporate Vices: What's Gone Wrong with Business?,Charles Cohen,2.25
609,Grand Theft Auto: Vice City Official Strategy Guide for PC,Tim Bogenn,4.07
610,Grand Theft Auto: Vice City Stories Official Strategy Guide,Brady Games,4.5
611,The Faking of the Vice-President: A Guide to Becoming a Superfluous Leader,Rich Mintzer,0
616,Vice & Virtue in Everyday Life: Introductory Readings in Ethics,Christina Hoff Sommers,3.74
617,Vice Cream: Over 70 Sinfully Delicious Dairy-Free Delights,Jeff Rogers,3.82
618,Vice DOs & DON'Ts: 10 Years of Vice Magazine's Street Fashion Critiques,Suroosh Alvi,4.17
619,"Vice (V, #8)",Jane Feather,3.51
620,"Small Vices (Spenser, #24)",Robert B. Parker,4.01
621,The Automatic Millionaire: A Powerful One-Step Plan to Live and Finish Rich,David Bach,3.93
622,The Automatic Millionaire Homeowner: A Powerful Plan to Finish Rich in Real Estate,David Bach,3.84
623,The Automatic Millionaire Workbook: A Personalized Plan to Live and Finish Rich. . . Automatically,David Bach,3.73
627,The Automatic Millionaire Workbook,David Bach,3.73
629,"Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values (Phaedrus, #1)",Robert M. Pirsig,3.77
630,The Mouse and the Motorcycle,Beverly Cleary,3.93
631,The Essential Guide to Motorcycle Maintenance,Mark Zimmerman,3.94
